cliente_id,cluster,feature,feature_label,cluster_driver_rank,cluster_direction,client_value,cluster_mean,global_mean,client_to_global_mean_ratio,assigned_distance,margin_to_second_nearest
CLI0001,0,dias_mora_observable_max,dias mora observable max.,1,bajo,120.0,77.22857142857143,77.7,1.5444015444015444,3.4386239466276662,9.011017951288032
CLI0001,0,moras_consecutivas_mean,moras consecutivas prom.,2,alto,0.0,0.04197016251425711,0.12102887928390232,0.0,3.4386239466276662,9.011017951288032
CLI0001,0,moras_consecutivas_sum,moras consecutivas total,3,alto,0.0,3.302857142857143,8.93,0.0,3.4386239466276662,9.011017951288032
CLI0001,0,ratio_monto_max,ratio monto max.,4,alto,2.284,3.2851531428571428,3.22862,0.707422985671897,3.4386239466276662,9.011017951288032
CLI0001,0,dias_desde_ultima_gestion_mean,dias desde ultima gestion prom.,5,bajo,17.308823529411764,15.104832426141463,15.299121875328938,1.1313605885657811,3.4386239466276662,9.011017951288032
CLI0001,0,num_facturas_prev_sum,num facturas prev total,6,alto,2505.0,1724.1885714285713,1588.695,1.5767658361107701,3.4386239466276662,9.011017951288032
CLI0002,0,dias_mora_observable_max,dias mora observable max.,1,bajo,120.0,77.22857142857143,77.7,1.5444015444015444,6.427895314838926,6.089178800301454
CLI0002,0,moras_consecutivas_mean,moras consecutivas prom.,2,alto,0.0267857142857142,0.04197016251425711,0.12102887928390232,0.22131671749915052,6.427895314838926,6.089178800301454
CLI0002,0,moras_consecutivas_sum,moras consecutivas total,3,alto,6.0,3.302857142857143,8.93,0.671892497200448,6.427895314838926,6.089178800301454
CLI0002,0,ratio_monto_max,ratio monto max.,4,alto,9.8073,3.2851531428571428,3.22862,3.0376135934238158,6.427895314838926,6.089178800301454
CLI0002,0,dias_desde_ultima_gestion_mean,dias desde ultima gestion prom.,5,bajo,16.696428571428573,15.104832426141463,15.299121875328938,1.0913324769543085,6.427895314838926,6.089178800301454
CLI0002,0,num_facturas_prev_sum,num facturas prev total,6,alto,3753.0,1724.1885714285713,1588.695,2.362316240688112,6.427895314838926,6.089178800301454
CLI0003,0,dias_mora_observable_max,dias mora observable max.,1,bajo,112.0,77.22857142857143,77.7,1.4414414414414414,5.072336088817975,7.699018455785362
CLI0003,0,moras_consecutivas_mean,moras consecutivas prom.,2,alto,0.0,0.04197016251425711,0.12102887928390232,0.0,5.072336088817975,7.699018455785362
CLI0003,0,moras_consecutivas_sum,moras consecutivas total,3,alto,0.0,3.302857142857143,8.93,0.0,5.072336088817975,7.699018455785362
CLI0003,0,ratio_monto_max,ratio monto max.,4,alto,1.7193,3.2851531428571428,3.22862,0.5325185373317393,5.072336088817975,7.699018455785362
CLI0003,0,dias_desde_ultima_gestion_mean,dias desde ultima gestion prom.,5,bajo,19.57920792079208,15.104832426141463,15.299121875328938,1.279760242472813,5.072336088817975,7.699018455785362
CLI0003,0,num_facturas_prev_sum,num facturas prev total,6,alto,3529.0,1724.1885714285713,1588.695,2.2213200142255123,5.072336088817975,7.699018455785362
CLI0004,2,moras_consecutivas_mean,moras consecutivas prom.,1,alto,1.0,0.743681700762976,0.12102887928390232,8.262490786634979,5.042159276124195,8.7535291274547
CLI0004,2,moras_consecutivas_sum,moras consecutivas total,2,alto,46.0,54.22727272727273,8.93,5.151175811870101,5.042159276124195,8.7535291274547
CLI0004,2,cliente_nuevo_mean,cliente nuevo prom.,3,alto,0.0217391304347826,0.07573681844648178,0.04828355882619489,0.45023877616470653,5.042159276124195,8.7535291274547
CLI0004,2,mora_ultimo_tramo_mean,mora ultimo tramo prom.,4,alto,28.13065217391304,27.107033668546613,15.274151424401019,1.8417162035576844,5.042159276124195,8.7535291274547
CLI0004,2,mora_promedio_hist_max,mora promedio hist max.,5,alto,29.0,46.66272727272727,29.547749999999997,0.9814622094744948,5.042159276124195,8.7535291274547
CLI0004,2,tiene_disputa_activa_mean,tiene disputa activa prom.,6,alto,0.217391304347826,0.1298405973204223,0.08465994929234688,2.5678175591286094,5.042159276124195,8.7535291274547
CLI0005,0,dias_mora_observable_max,dias mora observable max.,1,bajo,92.0,77.22857142857143,77.7,1.184041184041184,4.010937596646724,9.398377012336837
CLI0005,0,moras_consecutivas_mean,moras consecutivas prom.,2,alto,0.0,0.04197016251425711,0.12102887928390232,0.0,4.010937596646724,9.398377012336837
CLI0005,0,moras_consecutivas_sum,moras consecutivas total,3,alto,0.0,3.302857142857143,8.93,0.0,4.010937596646724,9.398377012336837
CLI0005,0,ratio_monto_max,ratio monto max.,4,alto,1.7847,3.2851531428571428,3.22862,0.5527748697585966,4.010937596646724,9.398377012336837
CLI0005,0,dias_desde_ultima_gestion_mean,dias desde ultima gestion prom.,5,bajo,12.333333333333334,15.104832426141463,15.299121875328938,0.8061464856503839,4.010937596646724,9.398377012336837
CLI0005,0,num_facturas_prev_sum,num facturas prev total,6,alto,2250.0,1724.1885714285713,1588.695,1.4162567390216498,4.010937596646724,9.398377012336837
CLI0006,0,dias_mora_observable_max,dias mora observable max.,1,bajo,93.0,77.22857142857143,77.7,1.196911196911197,2.867826163094618,10.019417298601386
CLI0006,0,moras_consecutivas_mean,moras consecutivas prom.,2,alto,0.0,0.04197016251425711,0.12102887928390232,0.0,2.867826163094618,10.019417298601386
CLI0006,0,moras_consecutivas_sum,moras consecutivas total,3,alto,0.0,3.302857142857143,8.93,0.0,2.867826163094618,10.019417298601386
CLI0006,0,ratio_monto_max,ratio monto max.,4,alto,1.9316,3.2851531428571428,3.22862,0.59827418525562,2.867826163094618,10.019417298601386
CLI0006,0,dias_desde_ultima_gestion_mean,dias desde ultima gestion prom.,5,bajo,14.448979591836734,15.104832426141463,15.299121875328938,0.9444319556102676,2.867826163094618,10.019417298601386
CLI0006,0,num_facturas_prev_sum,num facturas prev total,6,alto,2168.0,1724.1885714285713,1588.695,1.3646420489773052,2.867826163094618,10.019417298601386
CLI0007,0,dias_mora_observable_max,dias mora observable max.,1,bajo,114.0,77.22857142857143,77.7,1.4671814671814671,3.272219465846614,9.01000650093458
CLI0007,0,moras_consecutivas_mean,moras consecutivas prom.,2,alto,0.0307692307692307,0.04197016251425711,0.12102887928390232,0.2542304857426142,3.272219465846614,9.01000650093458
CLI0007,0,moras_consecutivas_sum,moras consecutivas total,3,alto,2.0,3.302857142857143,8.93,0.22396416573348266,3.272219465846614,9.01000650093458
CLI0007,0,ratio_monto_max,ratio monto max.,4,alto,2.0982,3.2851531428571428,3.22862,0.6498751788689905,3.272219465846614,9.01000650093458
CLI0007,0,dias_desde_ultima_gestion_mean,dias desde ultima gestion prom.,5,bajo,14.707692307692309,15.104832426141463,15.299121875328938,0.9613422539897302,3.272219465846614,9.01000650093458
CLI0007,0,num_facturas_prev_sum,num facturas prev total,6,alto,671.0,1724.1885714285713,1588.695,0.42235923194823427,3.272219465846614,9.01000650093458
CLI0008,0,dias_mora_observable_max,dias mora observable max.,1,bajo,97.0,77.22857142857143,77.7,1.2483912483912483,6.762053610047952,0.5374146743204893
CLI0008,0,moras_consecutivas_mean,moras consecutivas prom.,2,alto,0.2706766917293233,0.04197016251425711,0.12102887928390232,2.23646367157037,6.762053610047952,0.5374146743204893
CLI0008,0,moras_consecutivas_sum,moras consecutivas total,3,alto,36.0,3.302857142857143,8.93,4.031354983202688,6.762053610047952,0.5374146743204893
CLI0008,0,ratio_monto_max,ratio monto max.,4,alto,2.0947,3.2851531428571428,3.22862,0.6487911243813147,6.762053610047952,0.5374146743204893
CLI0008,0,dias_desde_ultima_gestion_mean,dias desde ultima gestion prom.,5,bajo,16.112781954887218,15.104832426141463,15.299121875328938,1.053183449755399,6.762053610047952,0.5374146743204893
CLI0008,0,num_facturas_prev_sum,num facturas prev total,6,alto,1562.0,1724.1885714285713,1588.695,0.9831969006008077,6.762053610047952,0.5374146743204893
