cliente_id,monto_mean,monto_max,condicion_dias_mean,condicion_dias_max,antiguedad_meses_mean,antiguedad_meses_max,mora_promedio_hist_mean,mora_promedio_hist_max,mora_ultimo_tramo_mean,mora_ultimo_tramo_max,monto_promedio_hist_mean,monto_promedio_hist_max,ratio_monto_mean,ratio_monto_max,dias_desde_ultima_gestion_mean,dias_desde_ultima_gestion_max,dias_hasta_vence_mean,dias_hasta_vence_max,dias_mora_observable_mean,dias_mora_observable_max,dias_hasta_vence_pos_mean,dias_hasta_vence_pos_max,intensidad_gestion_mean,intensidad_gestion_max,friccion_contacto_mean,friccion_contacto_max,tasa_cumplimiento_mean,tasa_contacto_cliente_mean,tasa_cumpl_promesas_mean,ratio_promesas_rotas_mean,num_facturas_prev_sum,num_facturas_prev_mean,moras_consecutivas_sum,moras_consecutivas_mean,num_gestiones_factura_sum,num_gestiones_factura_mean,num_no_contesta_cons_sum,num_no_contesta_cons_mean,num_promesas_rotas_sum,num_promesas_rotas_mean,promesas_total_sum,promesas_total_mean,tiene_disputa_activa_mean,tiene_promesa_activa_mean,sin_gestion_previa_mean,esta_vencida_al_corte_mean,cliente_nuevo_mean,n_facturas_total,n_cortes_total,sector_dominante_modal
CLI0001,16116.73911764706,39239.91,62.4264705882353,90,17.0,17,20.377352941176472,53.5,16.436176470588236,53.5,19327.068970588236,31924.38,0.8531705882352941,2.284,17.308823529411764,107.0,-4.3088235294117645,90,22.044117647058822,120,17.735294117647058,90,0.03043869133346789,0.14285714285714285,0.1714110644257703,1.0,0.37239338235294117,0.5528242647058823,0.3063205882352941,0.6500408496732026,2505,18.419117647058822,0,0.0,354,2.6029411764705883,58,0.4264705882352941,476,3.5,727,5.345588235294118,0.125,0.2426470588235294,0.2426470588235294,0.6323529411764706,0.029411764705882353,33,136,agro
CLI0002,52325.7896875,79966.65,61.07142857142857,90,34.0,34,48.11522321428571,64.33,48.69794642857143,86.67,43759.80075892857,51047.46,1.5209861607142856,9.8073,16.696428571428573,127.0,-21.285714285714285,90,32.370535714285715,120,11.084821428571429,90,0.03824581117617815,0.2,0.2641776502267574,1.0,0.16071428571428573,0.4387464285714286,0.2668138392857143,0.5615437080280831,3753,16.754464285714285,6,0.026785714285714284,767,3.424107142857143,161,0.71875,1158,5.169642857142857,1671,7.459821428571429,0.13392857142857142,0.19642857142857142,0.14285714285714285,0.78125,0.03571428571428571,32,224,manufactura
CLI0003,7313.0661881188125,11970.14,66.16336633663366,90,72.0,72,34.01915841584158,50.28,24.170445544554457,42.67,7716.891584158417,11218.78,0.9620514851485148,1.7193,19.57920792079208,111.0,-4.693069306930693,90,20.97029702970297,112,16.277227722772277,90,0.03109661761427469,0.14285714285714285,0.2728390696212478,1.0,0.13861386138613863,0.5097940594059406,0.3112881188118812,0.5759471115178745,3529,17.47029702970297,0,0.0,528,2.613861386138614,129,0.6386138613861386,1105,5.47029702970297,1727,8.549504950495049,0.2376237623762376,0.16336633663366337,0.18811881188118812,0.693069306930693,0.019801980198019802,38,202,salud
CLI0004,85588.88,135675.37,52.82608695652174,90,7.0,7,22.17608695652174,29.0,28.13065217391304,47.33,70432.22130434783,76684.35,1.2258130434782608,1.9515,14.73913043478261,93.0,-0.6739130434782609,90,16.195652173913043,69,15.521739130434783,90,0.04424116538879614,0.25,0.26614906832298135,1.0,0.3667260869565217,0.4572695652173913,1.0,0.0,260,5.6521739130434785,46,1.0,111,2.4130434782608696,33,0.717391304347826,0,0.0,81,1.7608695652173914,0.21739130434782608,0.15217391304347827,0.21739130434782608,0.6739130434782609,0.021739130434782608,10,46,construccion
CLI0005,7622.293888888888,14527.07,58.5,90,32.0,32,2.121,4.72,0.17777777777777778,8.0,9445.068111111112,13599.35,0.8225944444444445,1.7847,12.333333333333334,82.0,31.92222222222222,90,6.877777777777778,92,38.8,90,0.02486672619987202,0.25,0.15351851851851853,1.0,0.9477977777777777,0.5654144444444444,1.0,0.0,2250,25.0,0,0.0,85,0.9444444444444444,21,0.23333333333333334,0,0.0,39,0.43333333333333335,0.05555555555555555,0.03333333333333333,0.5222222222222223,0.2,0.011111111111111112,47,90,retail
CLI0006,5843.981224489797,11633.42,57.55102040816327,90,28.0,28,3.466632653061225,9.97,1.754795918367347,27.67,6267.51693877551,8049.92,0.9401928571428572,1.9316,14.448979591836734,96.0,20.040816326530614,90,8.795918367346939,93,28.836734693877553,90,0.024354135310607403,0.16666666666666666,0.157312925170068,1.0,0.8786244897959183,0.6037908163265306,0.963265306122449,0.036734693877551024,2168,22.122448979591837,0,0.0,133,1.3571428571428572,26,0.2653061224489796,18,0.1836734693877551,135,1.3775510204081634,0.08163265306122448,0.10204081632653061,0.42857142857142855,0.40816326530612246,0.02040816326530612,42,98,salud
CLI0007,17849.656923076924,39393.38,51.69230769230769,90,31.0,31,13.631384615384615,19.89,11.31230769230769,16.0,21713.65876923077,35450.35,0.8376846153846154,2.0982,14.707692307692307,80.0,15.261538461538462,90,11.538461538461538,114,26.8,90,0.03431508633769655,0.25,0.09205128205128205,0.6666666666666666,0.6821661538461539,0.7719169230769231,1.0,0.0,671,10.323076923076924,2,0.03076923076923077,108,1.6615384615384616,17,0.26153846153846155,0,0.0,49,0.7538461538461538,0.13846153846153847,0.1076923076923077,0.35384615384615387,0.4,0.03076923076923077,23,65,agro
CLI0008,4723.801353383458,9087.45,54.473684210526315,90,3.0,3,37.06857142857143,45.6,36.1412030075188,55.67,4713.9699248120305,5836.62,1.0245240601503758,2.0947,16.112781954887218,99.0,-11.278195488721805,90,23.30075187969925,97,12.022556390977444,90,0.03824645440504546,0.14285714285714285,0.20304332259219476,1.0,0.1426172932330827,0.5513571428571429,0.7884233082706766,0.18727037373653915,1562,11.74436090225564,36,0.2706766917293233,381,2.8646616541353382,70,0.5263157894736842,307,2.308270676691729,839,6.30827067669173,0.17293233082706766,0.24060150375939848,0.18045112781954886,0.7293233082706767,0.03007518796992481,24,133,servicios
CLI0009,5639.757253521127,9705.01,53.767605633802816,90,57.0,57,17.070845070422536,34.0,9.071690140845071,34.0,5331.450985915493,5994.18,1.0715288732394368,2.7337,15.661971830985916,96.0,4.661971830985915,90,13.711267605633802,89,18.37323943661972,90,0.03412493824162694,0.16666666666666666,0.21115023474178404,1.0,0.5192415492957746,0.5247007042253521,0.4768091549295775,0.49008524990516006,2617,18.429577464788732,2,0.014084507042253521,286,2.0140845070422535,59,0.4154929577464789,715,5.035211267605634,1309,9.21830985915493,0.056338028169014086,0.2746478873239437,0.2746478873239437,0.5915492957746479,0.04929577464788732,39,142,servicios
CLI0010,12370.804213483145,24736.77,62.69662921348315,90,30.0,30,21.6773595505618,42.88,27.900393258426963,69.33,10029.202528089889,12017.32,1.2637550561797752,2.7565,18.696629213483146,105.0,-4.702247191011236,90,19.674157303370787,116,14.97191011235955,90,0.03157452716577318,0.1111111111111111,0.2739700374531835,1.0,0.4937432584269663,0.49106685393258426,0.4505926966292135,0.5172779155925223,3405,19.129213483146067,114,0.6404494382022472,451,2.533707865168539,115,0.6460674157303371,732,4.112359550561798,1335,7.5,0.1404494382022472,0.16292134831460675,0.20224719101123595,0.6741573033707865,0.011235955056179775,36,178,tecnologia
CLI0011,40289.94804878049,76317.57,56.34146341463415,90,16.0,16,1.2807317073170732,3.33,1.6190243902439023,7.0,38968.29439024391,53551.7,1.0588658536585365,2.2519,11.536585365853659,88.0,42.63414634146341,90,0.8292682926829268,16,43.46341463414634,90,0.020460537652508246,0.2,0.04878048780487805,1.0,0.923709756097561,0.7663219512195122,0.8658536585365854,0.13414634146341464,497,12.121951219512194,0,0.0,19,0.4634146341463415,2,0.04878048780487805,11,0.2682926829268293,22,0.5365853658536586,0.024390243902439025,0.04878048780487805,0.6097560975609756,0.0975609756097561,0.04878048780487805,25,41,manufactura
CLI0012,23534.71884615385,39984.21,55.52884615384615,90,48.0,48,35.99201923076923,51.75,40.39951923076923,62.0,25325.20019230769,29731.64,0.9467769230769231,1.7515,15.557692307692308,91.0,-10.682692307692308,90,23.346153846153847,83,12.663461538461538,90,0.04139650308112029,0.2,0.31875,1.0,0.057692307692307696,0.33860769230769233,0.46794423076923075,0.5205128205128206,873,8.39423076923077,0,0.0,334,3.2115384615384617,93,0.8942307692307693,224,2.1538461538461537,318,3.0576923076923075,0.14423076923076922,0.19230769230769232,0.16346153846153846,0.6923076923076923,0.028846153846153848,17,104,agro
CLI0013,41583.503581395344,78079.18,62.72093023255814,90,8.0,8,28.77018604651163,43.28,21.256930232558137,57.33,43151.49581395349,49813.14,0.9844804651162791,4.4105,17.24186046511628,109.0,-16.093023255813954,90,28.288372093023256,109,12.195348837209302,90,0.031566838657377194,0.08333333333333333,0.2946142488002953,1.0,0.2665218604651163,0.41430558139534884,0.3810809302325581,0.5709471352800606,4301,20.004651162790697,3,0.013953488372093023,666,3.097674418604651,173,0.8046511627906977,882,4.102325581395349,1149,5.344186046511628,0.06976744186046512,0.2186046511627907,0.17209302325581396,0.7395348837209302,0.018604651162790697,37,215,manufactura
